랭킹,제목,가수명,좋아요수
1,넘쳐흘러,엠씨더맥스,73538
2,벌써 12시,청하,67348
3,띵 (Prod. By 기리보이),"영비 (Young B),Osshun Gum,Jvcki Wai,한요한",39257
4,180도,벤,116492
5,신용재,하은 (라코스테남),78767
6,SOLO,제니 (JENNIE),158071
7,Love Shot,EXO,119615
8,MILLIONS,WINNER,98460
9,아낙네,MINO (송민호),139970
10,너를 만나,폴킴,157936
11,해야 (Sunrise),여자친구 (GFRIEND),21260
12,Tempo,EXO,167302
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233030
14,YES or YES,TWICE (트와이스),114698
15,IDOL,방탄소년단,212953
16,내 생에 아름다운,케이윌,89183
17,아름답고도 아프구나,비투비,119947
18,너도 그냥 날 놓아주면 돼,윤건,36974
19,%%(응응),Apink (에이핑크),22693
20,첫눈에,헤이즈 (Heize),49270
21,가을 타나 봐,바이브,112126
22,흔한 이별,허각,36375
23,삐삐,아이유,203528
24,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,19956
25,고백,양다일,97432
26,사계 (하루살이),엠씨더맥스,19872
27,트라우마 (Trauma),EXO,66529
28,Way Back Home,숀 (SHAUN),249231
29,봄바람,Wanna One (워너원),124944
30,이별하러 가는 길,임한별,70063
31,Wait,EXO,67352
32,그 남자를 떠나,god,13398
33,"thank u, next",Ariana Grande,81035
34,열애중,벤,148041
35,FAKE LOVE,방탄소년단,268569
36,Gravity,EXO,95703
37,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135883
38,닿은 순간 (Ooh La La La),EXO,93104
39,24/7,EXO,91720
40,봄날,방탄소년단,377244
41,Sign,EXO,89982
42,너 없인 안 된다,비투비,149984
43,여기 있을게 (Smile On My Face),EXO,86985
44,I`m Fine,방탄소년단,156961
45,습관 (Bad Habits),숀 (SHAUN),16928
46,그리워하다,비투비,218695
47,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",120032
48,DNA,방탄소년단,334668
49,지나오다,닐로 (Nilo),191925
50,Damage,EXO,83548
51,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8431
52,가끔 (With You),EXO,84745
53,알았다면,장덕철,20311
54,후폭풍 (Bad Dream),EXO,83473
55,오아시스 (Oasis),EXO,86529
56,We all lie,하진,34313
57,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202734
58,YA,이민혁 (HUTA),13301
59,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78816
60,Euphoria,방탄소년단,150610
61,Universe,EXO,185672
62,Answer : Love Myself,방탄소년단,130402
63,너는 어땠을까,노을,36986
64,Bohemian Rhapsody (2011 Remaster),Queen,88092
65,IndiGO,"영비 (Young B),NO:EL,저스디스 (JUSTHIS),Kid Milli",89301
66,사이렌 (Siren),선미,109932
67,우리 그만하자,로이킴,121503
68,헤어지는 중,펀치 (Punch),97932
69,밤편지,아이유,303696
70,Dance The Night Away,TWICE (트와이스),138497
71,미안해,양다일,141938
72,이별길 (GOODBYE ROAD),iKON,84185
73,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191352
74,에너제틱 (Energetic),Wanna One (워너원),286576
75,비,폴킴,182925
76,동화 (feat. 아이유),김동률,54887
77,I`M OK,iKON,23371
78,사랑을 했다 (LOVE SCENARIO),iKON,278850
79,Wind flower,마마무(Mamamoo),48705
80,시간이 들겠지 (Feat. Colde),로꼬,96351
81,Epiphany,방탄소년단,119379
82,Cosmos,허각,3605
83,그때가 좋았어,케이시 (Kassy),13933
84,Beautiful,Wanna One (워너원),235104
85,Anpanman,방탄소년단,148896
86,가을 안부,먼데이 키즈 (Monday Kiz),125994
87,행복,오반 (OVAN),42510
88,BOOMERANG (부메랑),Wanna One (워너원),144022
89,그때 헤어지면 돼,로이킴,191406
90,켜줘 (Light),Wanna One (워너원),133328
91,flex (Prod. By 기리보이),"스윙스,NO:EL,기리보이,Kid Milli",106469
92,Trivia 轉 : Seesaw,방탄소년단,113880
93,사랑은 다 이러니,홍진영,11200
94,눈을 맞춰,god,7646
95,불꽃놀이 (Flowerbomb),Wanna One (워너원),72272
96,꿈인가 봐요 (Duet. 육성재 of 비투비),이민혁 (HUTA),9309
97,꿈처럼 내린,다비치,37666
98,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74160
99,오늘 밤에 (With Melody),이민혁 (HUTA),9846
100,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81294
계,,,11074912
